dataset,seed,method,status,aug_f1
racketsports,2,no_aug,success,0.7102047652655219
racketsports,2,csta_topk_uniform_top5,success,0.8020775750875253
racketsports,1,no_aug,success,0.6913950159307671
racketsports,1,csta_topk_uniform_top5,success,0.8094883788669288
racketsports,3,no_aug,success,0.7147621826773445
racketsports,3,csta_topk_uniform_top5,success,0.8161907536907537
selfregulationscp2,2,no_aug,success,0.5600111389585074
selfregulationscp2,2,csta_topk_uniform_top5,success,0.5437904815544916
selfregulationscp2,1,no_aug,success,0.4038018433179723
selfregulationscp2,1,csta_topk_uniform_top5,success,0.5561659227816098
selfregulationscp2,3,no_aug,success,0.5975655198112035
selfregulationscp2,3,csta_topk_uniform_top5,success,0.536244791501002
japanesevowels,2,no_aug,success,0.9637876814987356
japanesevowels,2,csta_topk_uniform_top5,success,0.9700673093527948
japanesevowels,1,no_aug,success,0.969813647915057
japanesevowels,1,csta_topk_uniform_top5,success,0.9688071013954151
japanesevowels,3,no_aug,success,0.9744989160637186
japanesevowels,3,csta_topk_uniform_top5,success,0.9806196419448896
uwavegesturelibrary,2,no_aug,success,0.9184715406445128
uwavegesturelibrary,2,csta_topk_uniform_top5,success,0.915045658595492
uwavegesturelibrary,1,no_aug,success,0.9181638802590956
uwavegesturelibrary,1,csta_topk_uniform_top5,success,0.9348181996627172
uwavegesturelibrary,3,no_aug,success,0.8952083131021819
uwavegesturelibrary,3,csta_topk_uniform_top5,success,0.912034648292762
har,2,no_aug,success,0.9539423947709132
har,2,csta_topk_uniform_top5,success,0.9649601533162256
har,1,no_aug,success,0.9574801581575718
har,1,csta_topk_uniform_top5,success,0.9676499650724532
har,3,no_aug,success,0.951104081119632
har,3,csta_topk_uniform_top5,success,0.9663832974106944
handwriting,2,no_aug,success,0.0607635546391134
handwriting,2,csta_topk_uniform_top5,success,0.102885881455579
handwriting,1,no_aug,success,0.0548722321751049
handwriting,1,csta_topk_uniform_top5,success,0.1180970595696678
handwriting,3,no_aug,success,0.0638755929043932
handwriting,3,csta_topk_uniform_top5,success,0.0948219229505396
fingermovements,2,no_aug,success,0.5118845500848896
fingermovements,2,csta_topk_uniform_top5,success,0.6096486838154338
fingermovements,1,no_aug,success,0.5242433444680635
fingermovements,1,csta_topk_uniform_top5,success,0.5495946351716545
fingermovements,3,no_aug,success,0.468671679197995
fingermovements,3,csta_topk_uniform_top5,success,0.562608076492727
libras,2,no_aug,success,0.7573398473923213
libras,2,csta_topk_uniform_top5,success,0.9098591263808654
libras,1,no_aug,success,0.752222925128296
libras,1,csta_topk_uniform_top5,success,0.8608407051885313
libras,3,no_aug,success,0.674807984419284
libras,3,csta_topk_uniform_top5,success,0.8831881955939926
articularywordrecognition,2,no_aug,success,0.9562515397645832
articularywordrecognition,2,csta_topk_uniform_top5,success,0.9596672544846458
articularywordrecognition,1,no_aug,success,0.9523332609419566
articularywordrecognition,1,csta_topk_uniform_top5,success,0.9519287263461176
articularywordrecognition,3,no_aug,success,0.9597161254204732
articularywordrecognition,3,csta_topk_uniform_top5,success,0.9560732291862726
ethanolconcentration,2,no_aug,success,0.2494913059563447
ethanolconcentration,2,csta_topk_uniform_top5,success,0.2614464767963947
ethanolconcentration,1,no_aug,success,0.2684442684505449
ethanolconcentration,1,csta_topk_uniform_top5,success,0.2961794888228019
ethanolconcentration,3,no_aug,success,0.2728750577901063
ethanolconcentration,3,csta_topk_uniform_top5,success,0.2583332726927815
natops,2,no_aug,success,0.9337613985528792
natops,2,csta_topk_uniform_top5,success,0.9503771116862876
natops,1,no_aug,success,0.9443826473859844
natops,1,csta_topk_uniform_top5,success,0.9272727272727272
natops,3,no_aug,success,0.9499490187145668
natops,3,csta_topk_uniform_top5,success,0.8252229206408771
basicmotions,2,no_aug,success,0.949874686716792
basicmotions,2,csta_topk_uniform_top5,success,1.0
basicmotions,1,no_aug,success,0.9244322928533454
basicmotions,1,csta_topk_uniform_top5,success,1.0
basicmotions,3,no_aug,success,0.8989898989898989
basicmotions,3,csta_topk_uniform_top5,success,0.974937343358396
epilepsy,2,no_aug,success,0.9646766169154228
epilepsy,2,csta_topk_uniform_top5,success,0.9717806041335452
epilepsy,1,no_aug,success,0.9709217843885812
epilepsy,1,csta_topk_uniform_top5,success,0.9858903020667726
epilepsy,3,no_aug,success,0.9646766169154228
epilepsy,3,csta_topk_uniform_top5,success,0.9788059701492536
cricket,2,no_aug,success,0.490297619047619
cricket,2,csta_topk_uniform_top5,success,0.986013986013986
cricket,1,no_aug,success,0.7673382173382174
cricket,1,csta_topk_uniform_top5,success,1.0
cricket,3,no_aug,success,0.55267279017279
cricket,3,csta_topk_uniform_top5,success,0.9860139860139862
ering,2,no_aug,success,0.6997916739304767
ering,2,csta_topk_uniform_top5,success,0.8607731073161736
ering,1,no_aug,success,0.7292745612334898
ering,1,csta_topk_uniform_top5,success,0.8582793035481839
ering,3,no_aug,success,0.3874090104269132
ering,3,csta_topk_uniform_top5,success,0.8683740780403139
motorimagery,2,no_aug,success,0.5993589743589745
motorimagery,2,csta_topk_uniform_top5,success,0.6457131288591963
motorimagery,1,no_aug,success,0.3288590604026846
motorimagery,1,csta_topk_uniform_top5,success,0.5
motorimagery,3,no_aug,success,0.3333333333333333
motorimagery,3,csta_topk_uniform_top5,success,0.5601023017902813
heartbeat,2,no_aug,success,0.5883534136546185
heartbeat,2,csta_topk_uniform_top5,success,0.6296774193548387
heartbeat,1,no_aug,success,0.6076775864009907
heartbeat,1,csta_topk_uniform_top5,success,0.6124515364157775
heartbeat,3,no_aug,success,0.4659663865546218
heartbeat,3,csta_topk_uniform_top5,success,0.6147894329612027
atrialfibrillation,2,no_aug,success,0.2666666666666666
atrialfibrillation,2,csta_topk_uniform_top5,success,0.4761904761904762
atrialfibrillation,1,no_aug,success,0.3148148148148148
atrialfibrillation,1,csta_topk_uniform_top5,success,0.3722222222222222
atrialfibrillation,3,no_aug,success,0.5333333333333333
atrialfibrillation,3,csta_topk_uniform_top5,success,0.4469696969696969
pendigits,2,no_aug,success,0.9803115442518668
pendigits,2,csta_topk_uniform_top5,success,0.981321304570456
pendigits,1,no_aug,success,0.9829125604356126
pendigits,1,csta_topk_uniform_top5,success,0.9818854917713128
pendigits,3,no_aug,success,0.981963153835481
pendigits,3,csta_topk_uniform_top5,success,0.982821018882732
handmovementdirection,2,no_aug,success,0.2326330532212885
handmovementdirection,2,csta_topk_uniform_top5,success,0.2914526921879863
handmovementdirection,1,no_aug,success,0.3160753185521172
handmovementdirection,1,csta_topk_uniform_top5,success,0.2708758162447016
handmovementdirection,3,no_aug,success,0.2367232737014951
handmovementdirection,3,csta_topk_uniform_top5,success,0.2245384703589037
